4830,ActorID,Name,Date of Birth,Birth City,Birth Country,Height (Inches),Biography,Gender,Ethnicity,NetWorth
4865,35.0,Frank Whaley,7/20/1963,Syracuse,USA,69.0,"Frank Whaley is a critically acclaimed actor/writer/director. He is best known for the films Pulp Fiction (1994) and Swimming with Sharks (1994), and has worked with Oliver Stone multiple times. His feature directorial debut, Joe the King (1999), earned him the Waldo Salt Screenwriting prize at the 1999 Sundance Film Festival. He was born in ...",Male,White,
4866,36.0,Dwier Brown,,,,,,Male,White,
4867,37.0,John Candy,10/31/1950,Toronto,Canada,74.0,"Candy was one of Canada's greatest and funniest character actors. His well-known role as the big hearted buffoon earned him classics in Uncle Buck (1989) and Planes, Trains  Automobiles (1987). His career has handed him some dry spells but Candy always rebounded. Born in Newmarket, Ontario, in the year 1950, Candy was the son of Evangeline (...",Male,White,
4868,38.0,Jean Louisa Kelly,3/9/1972,Worcester,USA,64.0,"Jean Louisa Kelly was born in Worcester, Massachusetts. She is an actress, known for Yes, Dear (2000), Uncle Buck(as John Candy's mean spirited, rebellious niece) (1989), Mr. Holland's Opus (1995) and Ant-Man (2015). She has been married to James Pitaro since May 24, 1997. They have two children together.",Female,White,
4869,39.0,Macaulay Culkin,8/26/1980,New York City,USA,66.0,"Macaulay Carson Culkin, one of the most famous American child stars, was born on August 26, 1980 in New York City, New York, USA, as the third of seven children of his father Kit Culkin (a former stage and child actor and also Macaulay's former manager) and mother Patricia Brentrup. He is the brother of Shane Culkin, Dakota Culkin, Kieran Culkin, ...",Male,white ,
4870,40.0,Elaine Bromka,,,,,,Female,White,
4871,41.0,Garrett M. Brown,,,,,,Male,White,
4872,42.0,Laurie Metcalf,,,,,,Female,White,
4873,43.0,Jay Underwood,,,,,,Male,White,
4874,44.0,Billy Crystal,3/14/1948,Yorkville,USA,67.0,"Billy Crystal was born on March 14, 1948 in Long Beach, Long Island, New York. He is the youngest of three sons born to Helen (Gabler) and Jack Crystal. His father was a well-known concert promoter who co-founded Commodore Records and his mother was a homemaker. His family were Jewish immigrants from Russia, Austria, and Lithuania. With his father...",Male,White,
4875,45.0,Meg Ryan,11/19/1961,Fairfield,USA,68.0,"Blond-haired, blue-eyed with an effervescent personality, Meg Ryan was born Margaret Mary Emily Hyra in Fairfield, Connecticut, to Susan (Duggan), an English teacher and one-time actress, and Harry Hyra, a math teacher. She is of Ruthenian, Polish, Irish, and German ancestry (""Hyra"" is a Ruthenian surname, and ""Ryan"" is her maternal grandmother's ...",Female,White,
4876,46.0,Carrie Fisher,,,,,,Female,White,
4877,47.0,Bruno Kirby,4/28/1949,New York City,USA,66.0,"Native New Yorker and Italianate Bruno Kirby tended towards assertive, pushy, streetwise characters and was armed with a highly distinctive scratchy tenor voice that complemented his slim eyes and droopy puss and accentuated his deadpan comedic instincts on film and TV. The well-regarded character actor was born Bruno Giovanni Quidaciolu on April ...",Male,White,
4878,48.0,Steven Ford,,,,,,Male,White,
4879,49.0,Lisa Jane Persky,,,,,,Female,White,
4880,50.0,Michelle Nicastro,,,,,,Female,White,
4881,51.0,Gretchen Palmer,,,,,,Female,African American,
4882,52.0,Robert Alan Beuth,,,,,,Male,White,
4883,53.0,Robin Williams,7/21/1951,Chicago,USA,67.0,"Robin McLaurin Williams was born on Saturday, July 21st, 1951, in Chicago, Illinois, a great-great-grandson of Mississippi Governor and Senator, Anselm J. McLaurin. His mother, Laurie McLaurin (n�e Janin), was a former model from Mississippi, and his father, Robert Fitzgerald Williams, was a Ford Motor Company executive from Indiana. Williams had ...",Male,White,
4884,54.0,Robert Sean Leonard,,,,,,Male,White,
4885,55.0,Ethan Hawke,,,,,,Male,white,
4886,56.0,Josh Charles,9/15/1971,Baltimore,USA,61.0,"Josh Charles was born on September 15, 1971 in Baltimore, Maryland, USA as Joshua Aaron Charles. He is an actor, known for Dead Poets Society (1989), Four Brothers (2005) and S.W.A.T. (2003). He has been married to Sophie Flack since September 6, 2013. They have one child.",Male,White,
4887,57.0,Gale Hansen,,,,,,Male,White,
4888,58.0,Dylan Kussman,,,,,,Male,White,
4889,59.0,Allelon Ruggiero,,,,,,Male,White,
4890,60.0,James Waterston,,,,,,Male,White,
4891,61.0,Norman Lloyd,,,,,,Male,White,
4892,62.0,Steve Martin,8/14/1945,Waco,USA,61.0,"Steve Martin was born on August 14, 1945 in Waco, Texas, USA as Stephen Glenn Martin to Mary Lee (n�e Stewart; 1913-2002) and Glenn Vernon Martin (1914-1997), a real estate salesman and aspiring actor. He was raised in Inglewood and Garden Grove in California. In 1960, he got a job at the Magic shop of Disney's Fantasyland, and while there he ...",Male,White,
4893,63.0,Mary Steenburgen,2/8/1953,Newport,USA,68.0,"Mary Steenburgen is an Academy Award-winning American actress. She was born February 8, 1953, in Newport, Arkansas, USA. Her mother, Nellie May (Wall) Steenburgen, was a school-board secretary, and her father, Maurice H. Steenburgen, was a freight-train conductor. Her surname comes from distant Dutch ancestry, and her roots also include English, ...",Female,White,
4894,64.0,Dianne Wiest,3/28/1948,Kansas City,USA,65.0,"One of three children (she has two brothers, Greg and Don), Dianne Wiest was born in Kansas City, Missouri, USA. Her mother, Anne Stewart (Keddie), was a nurse from Auchtermuchty, Scotland, and her father, Bernard John Wiest, was a college dean and social worker who was born in Pennsylvania, of German and Croatian descent. Dianne's original ...",Female,White,
4895,65.0,Jason Robards,7/26/1992,Chicago,USA,69.0,"Jason Nelson Robards Jr. was an American stage, film, and television actor. He was a winner of a Tony Award, two Academy Awards and an Emmy Award, making him one of 24 Triple Crown of Acting winners. He was also a United States Navy decorated combat veteran of World War II.",Male,White,
4896,66.0,Rick Moranis,4/18/1953,Toronto,Canada,66.0,"Rick began his career as a radio DJ while he was still at high school which led to him writing, producing and being on air in his own show. He joined the Canadian TV series SCTV (1976) winning an Emmy for writing and portraying the character Bob McKenzie which became the basis for the film _Strange Brew_ which he co-wrote, co-directed and made his...",Male,White,
4897,67.0,Tom Hulce,12/6/1953,Detroit,USA,68.0,"Thomas Edward Hulce was born in Detroit, Michigan, and grew up in Plymouth, MI, where he was raised with his two sisters and older brother. He is the son of Joanna (Winkleman), who had sung professionally, and Raymond Albert Hulce, who worked for Ford. He has English, German, and Irish ancestry. Wanting to be a singer, Tom had to make a switch in ...",Male,White,
4898,68.0,Martha Plimpton,11/16/1960,New York,USA,65.0,"Martha Campbell Plimpton is an American actress, singer, and former model. Her feature film debut was in Rollover; she subsequently rose to prominence in the Richard Donner film The Goonies. She has also appeared in The Mosquito Coast, Running on Empty, Parenthood, Samantha, Raising Hope and Small Town Murder Songs",Female,White,
4899,69.0,Keanu Reeves,9/2/1964,Beirut,Lebanon,73.0,"Keanu Charles Reeves, whose first name means ""cool breeze over the mountains"" in Hawaiian, was born September 2, 1964 in Beirut, Lebanon. He is the son of Patricia Taylor, a showgirl and costume designer, and Samuel Nowlin Reeves, a geologist. Keanu's father was born in Hawaii, of British, Portuguese, Native Hawaiian, and Chinese ancestry, and ...",Male,Lebanese,
4900,70.0,Harley Jane Kozak,1/28/1957,Wilkes-Barre,USA,69.0,"Harley Jane Kozak is an American actress and author. She made her film debut in the slasher film The House on Sorority Row, and had a recurring role as Mary Duvall on the soap opera Santa Barbara between 1985 and 1989.",Female,White,
4901,71.0,Mel Gibson,1/3/1956,Peekskill,USA,69.0,"Mel Columcille Gerard Gibson was born January 3, 1956 in Peekskill, New York, USA, as the sixth of eleven children of Hutton Gibson, a railroad brakeman, and Anne Patricia (Reilly) Gibson (who died in December of 1990). His mother was Irish, from County Longford, while his American-born father is of mostly Irish descent. Mel and his family moved to...",Male,White,
4902,72.0,Danny Glover,7/22/1946,San Francisco,USA,75.0,"Actor, producer and humanitarian Danny Glover has been a commanding presence on screen, stage and television for more than 35 years. Glover was born in San Francisco, California, to Carrie (Hunley) and James Glover, postal workers who were also active in civil rights. Glover trained at the Black Actors' Workshop of the American Conservatory Theater...",Male,African American,
4903,73.0,Joe Pesci,2/9/1943,Newark,USA,64.0,"Compact Italian-American actor Joe Pesci was born February 9, 1943 in Newark, New Jersey, to Mary (Mesce), a part-time barber, and Angelo Pesci, a bartender and forklift driver. Pesci first broke into entertainment as a child actor, and by the mid-1950s, was starring on the series ""Star Time Kids"". In the mid-1960s, he released a record under the ...",Male,White,
4904,74.0,Joss Ackland,2/29/1928,North Kensington,UK,73.0,"Joss Ackland, the distinguished English actor who has appeared in over 100 movies, scores of plays and a plethora of television programs in his six-decade career, was born Sidney Edmond Jocelyn Ackland on February 29, 1928, in North Kensington, London. After attending London's Central School of Speech and Drama, the 17-year-old Ackland made his ...",Male,White,
4905,75.0,Derrick O'Connor,1/3/1941,Dublin,Ireland,,"Derrick O'Connor was an Irish theatre and character actor. O'Connor was best known for his performance as South African mercenary Pieter Vorstedt in Lethal Weapon 2 and for his roles in three Terry Gilliam films. He starred as Jack Stone in The Professionals episode ""You'll be Alright"".",Male,White,
4906,76.0,Patsy Kensit,3/4/1968,Housnlow,Unite Kingdom,64.0,"Patricia Jude Francis Kensit is an English actress, singer, model, and former child star. She was lead singer of the band Eighth Wonder from 1983 to 1989. Between 2004 and 2006, Kensit played the role of Sadie King in the ITV soap opera Emmerdale.",Female,White,
4907,77.0,Darlene Love,7/26/1938,Los Angeles,USA,62.0,"Born Darlene Wright in Los Angeles in 1938, she began her career as lead singer with the vocal trio, The Blossoms. After a spell as regulars on ABC TV's variety show Shindig! (1964) in the early 60s, the trio went on to sing backup on a variety of Elvis Presley recordings, and even backed him on his 1968 NBC-TV special Elvis: The Comeback Special ...",Female,African American,
4908,78.0,Traci Wolfe,1960-0-0,Plainfield,USA,67.0,"Traci Wolfe was born in 1960 in Plainfield, New Jersey, USA. She is an actress, known for Lethal Weapon (1987), Lethal Weapon 2 (1989) and Lethal Weapon 4 (1998).",Female,African American,
4909,79.0,Steve Kahan,1930-0-0,New York,USA,73.0,"Kahan is the cousin of film writer, producer and director Richard Donner. Kahan may be best known for playing the bedraggled ""Captain Ed Murphy"" trying to keep Mel Gibson and Danny Glover in check in the ""Lethal Weapon"" series of films. He has appeared in several television series as recurring characters as well.",Male,White,
4910,80.0,Michael Douglas,9/25/1944,New Brunswick,USA,61.0,"An actor with over forty years of experience in theatre, film, and television, Michael Douglas branched out into independent feature production in 1975 with the Academy Award-winning One Flew Over the Cuckoo's Nest (1975). Since then, as a producer and as an actor-producer, he has shown an uncanny knack for choosing projects that reflect changing ...",Male,White,
4911,81.0,Kathleen Turner,6/19/1954,Springfield,USA,68.0,"Mary Kathleen Turner, better known as Kathleen Turner, is an American film and stage actress and director. Known for her distinctive gritty voice, Turner has won two Golden Globe Awards and has been nominated for an Academy Award",Female,White,
4912,82.0,Danny DeVito,11/17/1944,Asbury Park,USA,49.0,"Danny DeVito has amassed a formidable and versatile body of work as an actor, producer and director that spans the stage, television and film. Daniel Michael DeVito Jr. was born on November 17, 1944, in Neptune, New Jersey, to Italian-American parents. His mother, Julia (Moccello), was a homemaker. His father, Daniel, Sr., was a small business owner...",Male,White,
4913,83.0,Marianne Sï¿½gebrecht,,,Germany,,,Female,White,
4914,84.0,Sean Astin,2/25/1971,Santa Monica,USA,67.0,"Sean Patrick Astin (n� Duke; February 25, 1971) is an American actor, voice actor, screenwriter, director, producer, family man, author, marathon runner, political activist and philanthropist who is well known for his film debut portraying Mikey in Steven Spielberg's The Goonies (1985), for playing the title role in the critically acclaimed Rudy (...",Male,White,
4915,85.0,Heather Fairfield,,,USA,,"Heather Fairfield is known for her work on The War of the Roses (1989), Frame Up (1991) and The Bag Man (2014).",Female,White,
4916,86.0,G.D. Spradlin,8/31/1920,Pauls Valley,USA,,"Gervase Duan Spradlin was an American actor. Known for his distinctive accent and voice, he often played devious authority figures. He is credited in over 70 television and film productions, and performed with actors such as Marlon Brando, Al Pacino, James Garner, Charlton Heston, George C. Scott, and Johnny Depp.",Male,White,
4917,87.0,Peter Donat,,,Canada,,,Male,White,
4918,88.0,Dan Castellaneta,10/29/1957,Chicago,USA,69.0,"Dan Castellaneta was born on October 29, 1957 in Chicago, Illinois, USA as Daniel Louis Castellaneta. He is an actor, known for The Simpsons (1989), The Simpsons Movie (2007) and Space Jam (1996). He has been married to Deb Lacusta since 1987.",Male,White,
4919,89.0,Chevy Chase,,,USA,,,Male,white,
4920,90.0,Beverly D'Angelo,,,USA,,,Female,White,
4921,91.0,Juliette Lewis,6/21/1973,Los Angeles,USA,66.0,"Juliette Lewis has been recognized as one of Hollywood's most talented and versatile actors of her generation since she first stunned audiences and critics alike with her Oscar-nominated performance as ""Danielle Bowden"" in Cape Fear (1991). To date, she has worked with some of the most revered directors in the industry, including Martin Scorsese, ...",Female,White,
4922,92.0,Johnny Galecki,4/30/1975,Bree,Belgium,65.0,"John Mark Galecki was born in Bree, Belgium, to American parents; his father was stationed there while serving in the U.S. Air Force. When he was three years old, his family moved to Chicago, Illinois, where he grew up with his parents, Mary Lou and Richard Galecki, and siblings, sister Allison (1980) and brother Nick (1982). His father was of ...",Male,White,
4923,93.0,John Randolph,,,USA,,,Male,White,
4924,94.0,Diane Ladd,,,USA,,,Female,White,
4925,95.0,E.G. Marshall,,,USA,,,Male,White,
4926,96.0,Doris Roberts,,,USA,,,Female,White,
4927,97.0,Randy Quaid,10/1/1950,Houston,USA,77.0,"Randy Quaid is an Academy Award-nominated actor, for his performance in The Last Detail (1973). Hal Ashby directed Quaid in the role of Meadows opposite Jack Nicholson and Otis Young. Quaid is a great and much admired actor that has been recognized by Hollywood and the worlds finest directors, Midnight Exspress, The last Picture Show, Ice Harvest ...",Male,white,
4928,98.0,Matt Frewer,1/4/1958,Washington,USA,75.0,"Matt Frewer has been travelling all over North America in recent months filming recurring roles. In Vancouver as Carnage in Netflix's sci-fi drama Altered Carbon (2018); in Montreal (opposite Dennis Quaid) as Anthony Bruhl in NBC's Timeless (2016); in Toronto as Paul Rice in Crackle's The Art of More (2015), and also in Toronto as Dr. Leekie on ...",Male,white,
4929,99.0,Marcia Strassman,,,USA,,,Female,white,
4930,100.0,Kristine Sutherland,,,USA,,,Female,white,
4931,101.0,Thomas Wilson Brown,,,USA,,,Male,white,
4932,102.0,Jared Rushton,,,USA,,,Male,white,
4933,103.0,Amy O'Neill,,,USA,,,Female,white,
4934,104.0,Robert Oliveri,4/28/1978,Los Angeles,USA,,"Robert Oliveri was born on April 28, 1978 in Los Angeles, California, USA as Robert Dane Oliveri. He is an actor, known for Honey, I Shrunk the Kids (1989), Edward Scissorhands (1990) and Honey, I Blew Up the Kid (1992).",Male,white,
4935,105.0,Carl Steven,,,USA,,,Male,white,
4936,106.0,Michael Keaton,9/5/1951,Coraopolis,USA,69.0,"Quirky, inventive and handsome American actor Michael Keaton first achieved major fame with his door-busting performance as fast-talking ideas man Bill Blazejowski, alongside a nerdish morgue attendant (Henry Winkler), in Night Shift (1982). He played further comedic roles in Mr. Mom (1983), Johnny Dangerously (1984), and Beetlejuice (1988), ...",Male,white,
4937,107.0,Jack Nicholson,4/22/1937,Neptune,USA,69.0,"Jack Nicholson, an American actor, producer, director and screenwriter, is a three-time Academy Award winner and twelve-time nominee. Nicholson is also notable for being one of two actors - the other being Michael Caine - who have received Oscar nomination in every decade from the 1960s through the early 2000s. Nicholson was born on April 22, 1937,...",Male,white,
4938,108.0,Kim Basinger,12/8/1953,Athens,USA,67.0,"Kim Basinger was born December 8, 1953, in Athens, Georgia, the third of five children. Both her parents had been in entertainment, her dad had played big-band jazz, and her mother had performed water ballet in several Esther Williams movies. Kim was introspective, from her father's side. As a schoolgirl, she was very shy. To help her overcome ...",Female,white,
4939,109.0,Robert Wuhl,10/9/1951,Union Township,USA,61.0,"Robert Wuhl was born on October 9, 1951 in Union Township, New Jersey, USA. He is an actor and writer, known for Batman (1989), Arli$$ (1996) and Bull Durham (1988). He has been married to Barbara Koldys Capelli since May 1983.",Male,white,
4940,110.0,Pat Hingle,7/19/1924,Miami,USA,61.0,"Pat Hingle (real name: Martin Patterson Hingle) was born in Miami, Florida, the son of a building contractor. His parents divorced when Hingle was still in his infancy (he never knew his father) and his mother supported the family by teaching school in Denver. She then began to travel (with her son in tow) in search of more lucrative work; by age ...",Male,white,
4941,111.0,Billy Dee Williams,4/6/1937,New York City,USA,72.0,"Billy Dee Williams was born William December Williams on April 6, 1937 in New York City. Billy Dee has notched up an impressive array of film and television appearances over the past 50+ years. He is easily best known to international film audiences as the roguish Lando Calrissian in the last two episodes of the original Star Wars trilogy: Star ...",Male,African American,
4942,112.0,Michael Gough,11/23/1916,Kuala Lumpur,British Malaya,61.0,"Tony Award-winning English actor Michael Gough, best known for playing the butler Alfred Pennyworth in the first four Batman (1989, 1992, 1995  1997) movies and for playing the arch-criminal Dr. Clement Armstrong in The Avengers (1961) episode ""The Cybernauts"", was an accomplished performer on both stage and screen. He was nominated twice for ...",Male,white,
4943,113.0,Jack Palance,2/18/1920,Lattimer Mines,USA,75.0,"Jack Palance often exemplified evil incarnate on film -- portraying some of the most intensely despised villains witnessed in 1950s westerns and melodrama, enhanced by his tall, powerful build, icy voice, and piercing eyes. He received two Best Supporting Actor nominations early in his career, but it would take a grizzled, eccentric comic ...",Male,white,
4944,114.0,Jerry Hall,7/2/1956,Gonzales,USA,72.0,"Born July 2, 1956 in Gonzales, Texas, to John Printes Hall (May 11, 1918-June 21, 1977) and Marjorie Nell Hall n�e Sheffield (October 15,1924-February 5, 2013), she was one of five daughters, including her twin, Terry Jaye, moved with her family to Mesquite, a nearby working-class town, when she was two. She had a turbulent early life, often ...",Female,white,
4945,115.0,Bill Murray,9/21/1950,Wilmette,USA,73.0,"Bill Murray is an American actor, comedian, and writer. The fifth of nine children, he was born William James Murray in Wilmette, Illinois, to Lucille (Collins), a mailroom clerk, and Edward Joseph Murray II, who sold lumber. He is of Irish descent. Among his siblings are actors Brian Doyle-Murray, Joel Murray, and John Murray. He and most of his ...",Male,white,
4946,116.0,Sigourney Weaver,10/8/1949,Manhattan,USA,61.0,"Sigourney Weaver was born Susan Alexandra Weaver in Leroy Hospital in Manhattan, New York City. Her father, TV producer Sylvester L. Weaver Jr., originally wanted to name her Flavia, because of his passion for Roman history (he had already named her elder brother Trajan). Her mother, Elizabeth Inglis (n�e Desiree Mary Lucy Hawkins), was an English...",Female,white,
4947,117.0,Harold Ramis,11/21/1944,Chicago,USA,74.0,"Born on November 21, 1944 in Chicago, Illinois, Harold Allen Ramis got his start in comedy as Playboy magazine's joke editor and reviewer. In 1969, he joined Chicago's Second City's Improvisational Theatre Troupe before moving to New York to help write and perform in ""The National Lampoon Show"" with other Second City graduates including John ...",Male,white,
4948,118.0,Ernie Hudson,12/17/1945,Benton Harbor,USA,72.0,"As a child growing up in Benton Harbor, Michigan, Ernie Hudson wrote short stories, poems and songs, always thinking that his words might one day come to life on stage. After a short stint in the Marine Corps, he moved to Detroit where he became the resident playwright at Concept East, the oldest black theatre in the country. In addition, he ...",Male,African American,
4949,119.0,Annie Potts,10/28/1952,Nashville,USA,63.0,"Annie Potts is an American film, television, and stage actress. She is known for her roles in popular 1980s films such as Ghostbusters (1984) and Pretty in Pink (1986). She made her debut on the big screen in 1978 in the Metro-Goldwyn-Mayer comedy film Corvette Summer, with Mark Hamill, for which she was nominated for an Golden Globe. In 2017 she ...",Female,white,
4950,120.0,Peter MacNicol,4/10/1954,Dallas,USA,68.0,"Peter MacNicol was born on April 10, 1954 in Dallas, Texas, USA. He is an actor, known for Sophie's Choice (1982) and Ally McBeal (1997). He has been married to Martha Sue Cumming since October 11, 1986.",Male,white,
4951,121.0,Harris Yulin,11/5/1937,Los Angeles,USA,61.0,"Another one of those frustratingly nameless but omnipresent and talented faces of stage, film and TV, chameleon-like player Harris Yulin has avoided the severe stereotyping lost to many a prolific actor. Benign, balding and often bearded, Yulin off camera was a stark contrast to the tough, unsympathetic men he presented on camera. Born in Los ...",Male,white,
4952,122.0,Rene Auberjonois,6/1/1940,New York City,USA,72.0,"Ren� Murat Auberjonois was born on June 1, 1940 in New York City, to Princess Laure Louise Napol�one Eug�nie Caroline (Murat), who was born in Paris, and Fernand Auberjonois, who was Swiss-born. Ren� was born into an already artistic family, which included his grandfather, a well-known Swiss painter, and his father, a Pulitzer-nominated writer and...",Male,white,
4953,123.0,Christopher Daniel Barnes,11/7/1972,Portland,USA,61.0,"Christopher Daniel Barnes was born on November 7, 1972 in Portland, Maine, USA. He is an actor, known for The Little Mermaid (1989), Spider-Man (1994), The Brady Bunch Movie (1995) and A Very Brady Sequel (1996). Barnes moved to New York when he was eight years old, where he began his acting career. He moved to Los Angeles for the television ...",Male,white,
4954,124.0,Jodi Benson,10/10/1961,Rockford,USA,67.0,"Jodi Benson, a native of Rockford, Illinois, has received worldwide recognition and critical acclaim as the voice of Ariel in the Academy Award-winning Walt Disney animated feature film, The Little Mermaid (1989), as well as the bubbly voice of Tour Guide Barbie in Disney's Toy Story 2 (1999), winner of the Golden Globe Award for Best Picture. She...",Female,white,
